"Kathryn Stockett";"The Help"
"John Green";"The Fault in Our Stars"
"William Shakespeare";"An Excellent conceited Tragedie of Romeo and Juliet"
"Joanne Rowling";"Harry Potter and the Half-Blood Prince"
"Jane Austen";"Pride and Prejudice"
"Lewis Carroll";"Alice in Wonderland"
"Lois Lowry";"The Giver"
"Emily Bronte";"Wuthering Heights"
"Gillian Flynn";"Gone Girl"
"Suzanne Collins";"Catching Fire"
"Ray Bradbury";"Fahrenheit 451"
"Khaled Hosseini";"The Kite Runner"
"Stephen King";"The Stand"
"Jon Krakauer";"Into the Wild"
"Elwyn White";"Charlotte's Web"
"John Tolkien";" The Fellowship of the Ring"
"Jeannette Walls";"The Glass Castle"
"Philip Pullman";"The Golden Compass"
"Louis Sachar";"Holes"
"Alice Sebold";"The Lovely Bones"
"John Steinbeck";"Of Mice and Men"
"Markus Zusak";"The Book Thief"
"Nicholas Sparks";"The Notebook"
"Charles Dickens";"A Tale of Two Cities"
"George Orwell";"Animal Farm"
"Shel Silverstein";"Where the Sidewalk Ends"
"Mark Haddon";"The Curious Incident of the Dog in the Night-Time"
"William Golding";"Lord of the Flies"
"Erika Leonard";"Fifty Shades Darker"
"Dmitry Glukhovsky";"Metro 2033"
"Erika Leonard";"Fifty Shades Freed"
"Veronica Roth";"Insurgent"
"Paulo Coelho";"O Alquimista"
"Jodi Picoult";"My Sister's Keeper"
"Cassandra Clare";"City of Bones"
"Stephenie Meyer";"Eclipse"
"Dan Brown";"Angels & Demons"
"Roald Dahl";"Charlie and the Chocolate Factory"
"Douglas Adams";"The Hitchhiker's Guide to the Galaxy"
"Steven Levitt";"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything"
"Shel Silverstein";"The Giving Tree"
"Mary Shelley";"Frankenstein"
"Stephen King";"The Shining"
"Elizabeth Gilbert";"Eat, pray, love"
"Sara Gruen";"Water for Elephants"
"Stephenie Meyer";"Breaking Dawn"
"Joanne Rowling";"Harry Potter and the Goblet of Fire"
"Francis Fitzgerald";"The Great Gatsby"
"George Orwell";"1984"
"Michael Crichton";"Jurassic Park"
"Harper Lee";"To Kill a Mockingbird"
"Erika Leonard";"Fifty Shades of Grey"
"Susan Hinton";"The Outsiders"
"Arthur Golden";"Memoirs of a Geisha"
"Jerome Salinger";"The Catcher in the Rye"
"Paula Hawkins";"The Girl on the Train"
"Stephen Chbosky";"The Perks of Being a Wallflower"
"Audrey Niffenegger";"The Time Traveler's Wife"
"William Goldman";"The Princess Bride"
"Joanne Rowling";"Harry Potter and the Prisoner of Azkaban"
"Mark Twain";"The Adventures of Huckleberry Finn"
"Veronica Roth";"Divergent"
"Alex Haley";"Roots"
"Christopher Paolini";"Eragon"
"Frances Burnett";"The Secret Garden"
"Aldous Huxley";"Brave New World"
"John Tolkien";"The Return of the King"
"George Martin";"A Game of Thrones"
"Joanne Rowling";"Harry Potter and the Deathly Hallows"
"Frank Herbert";"Dune"
"Orson Card";"Ender's Game"
"John Tolkien";"The Hobbit or There and Back Again"
"Joanne Rowling";"Harry Potter and the Chamber of Secrets"
"Jane Austen";"Sense and Sensibility"
"Suzanne Collins";"The Hunger Games"
"John Green";"Looking for Alaska"
"Lauren Weisberger";"The Devil Wears Prada"
"Kurt Vonnegut";"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death"
"Margaret Mitchell";"Gone with the Wind"
"James Dashner";"The Maze Runner"
"Nora Roberts";"Northern Lights"
"Stephenie Meyer";"Twilight"
"Dan Brown";"The Da Vinci Code"
"John Green";"Paper Towns"
"Stephenie Meyer";"New Moon"
"Charlotte Bronte";"Jane Eyre"
"Louisa Alcott";"Little Women"
"Oscar Wilde";"The Picture of Dorian Gray"
"Sue Kidd";"The Secret Life of Bees"
"Suzanne Collins";"Mockingjay"
"Bram Stoker";"Dracula"
"Khaled Hosseini";"A Thousand Splendid Suns"
"John Tolkien";"The Two Towers"
"Yann Martel";"Life of Pi"
"Clive Lewis";"The Lion, the Witch and the Wardrobe"
"Joanne Rowling";"Harry Potter and the Sorcerer's Stone"
"John Grisham";"A Time to Kill"
"Stephenie Meyer";"The Host"
"Joanne Rowling";"Harry Potter and the Order of the Phoenix"
"Rick Riordan";"The Lightning Thief"
